date,Buy,Sell,All Buy (cash and derivative)
2019-04-01,12,-190,154
2019-04-02,7,-49,39
2019-04-03,6,-60,41
2019-04-04,5,-54,41
2019-04-05,6,-67,44
2019-04-08,9,-68,60
2019-04-09,5,-39,29
2019-04-10,8,-59,46
2019-04-11,6,-50,39
2019-04-15,9,-121,80
2019-04-16,8,-52,37
2019-04-17,4,-48,32
2019-04-18,6,-46,36
2019-04-22,8,-78,54
2019-04-23,8,-62,50
2019-04-24,4,-61,56
2019-04-25,7,-41,41
2019-04-26,8,-76,55
2019-04-29,10,-101,60
2019-04-30,15,-97,77
2019-05-01,16,-188,159
2019-05-02,17,-105,75
2019-05-03,24,-150,98
2019-05-06,18,-126,110
2019-05-07,31,-97,90
2019-05-08,31,-102,99
2019-05-09,39,-92,98
2019-05-10,42,-123,128
2019-05-13,60,-111,131
2019-05-14,41,-112,102
2019-05-15,33,-176,152
2019-05-16,23,-150,102
2019-05-17,37,-89,80
2019-05-20,29,-103,88
2019-05-21,28,-97,83
2019-05-22,28,-86,83
2019-05-23,28,-36,46
2019-05-24,19,-40,37
2019-05-28,31,-91,79
2019-05-29,35,-73,77
2019-05-30,37,-89,77
2019-05-31,46,-66,102
2019-06-03,32,-166,100
2019-06-04,19,-88,70
2019-06-05,35,-106,96
2019-06-06,29,-90,87
2019-06-07,33,-108,87
2019-06-10,18,-156,106
2019-06-11,30,-88,67
2019-06-12,23,-88,75
2019-06-13,21,-92,72
2019-06-14,23,-87,61
2019-06-17,18,-133,84
2019-06-18,13,-90,60
2019-06-19,14,-69,51
2019-06-20,11,-98,62
2019-06-21,10,-52,32
2019-06-24,12,-66,53
2019-06-25,13,-40,35
2019-06-26,18,-41,43
2019-06-27,13,-50,39
2019-06-28,11,-73,53
2019-07-01,12,-169,127
2019-07-02,4,-36,23
2019-07-03,3,-23,19
2019-07-05,4,-49,35
2019-07-08,5,-67,37
2019-07-09,4,-49,31
2019-07-10,7,-73,45
2019-07-11,7,-40,36
2019-07-12,7,-42,34
2019-07-15,7,-108,69
2019-07-16,5,-42,35
2019-07-17,4,-47,24
2019-07-18,5,-36,29
2019-07-19,7,-35,31
2019-07-22,10,-59,48
2019-07-23,6,-46,28
2019-07-24,5,-55,36
2019-07-25,9,-61,45
2019-07-26,7,-87,59
2019-07-29,21,-93,76
2019-07-30,9,-97,57
2019-07-31,16,-85,70
2019-08-01,27,-195,153
2019-08-02,30,-93,86
2019-08-05,41,-103,99
2019-08-06,41,-86,74
2019-08-07,37,-80,82
2019-08-08,41,-143,102
2019-08-09,59,-96,126
2019-08-12,60,-113,125
2019-08-13,44,-105,89
2019-08-14,75,-84,121
2019-08-15,58,-126,135
2019-08-16,43,-103,96
2019-08-19,21,-151,91
2019-08-20,33,-90,81
2019-08-21,29,-102,88
2019-08-22,17,-79,59
2019-08-23,53,-63,91
2019-08-26,21,-66,51
2019-08-27,34,-69,77
2019-08-28,24,-63,47
2019-08-29,11,-49,34
2019-08-30,17,-54,40
2019-09-03,33,-167,119
2019-09-04,24,-92,80
2019-09-05,17,-130,80
2019-09-06,19,-86,76
2019-09-09,27,-121,93
2019-09-10,21,-114,69
2019-09-11,12,-127,74
2019-09-12,15,-124,87
2019-09-13,18,-102,65
2019-09-16,17,-166,92
2019-09-17,9,-73,38
2019-09-18,8,-50,34
2019-09-19,8,-81,49
2019-09-20,10,-65,49
2019-09-23,6,-64,35
2019-09-24,5,-31,28
2019-09-25,6,-43,31
2019-09-26,7,-31,26
2019-09-27,11,-32,25
2019-09-30,10,-61,56
2019-10-01,10,-143,111
2019-10-02,6,-32,28
2019-10-03,7,-31,25
2019-10-04,9,-29,33
2019-10-07,9,-57,44
2019-10-08,9,-26,22
2019-10-09,5,-23,16
