Date,Transactions,Filings
2018 - Nov,9562,2634
2018 - Nov,12262,2966
2018 - Nov,20820,5768
2018 - Nov,13387,3217
2018 - Nov,9958,2594
2018 - Nov,12304,2692
2018 - Nov,5434,1932
2018 - Nov,616,132
2018 - Nov,7226,1268
2018 - Nov,8964,2005
2018 - Nov,10414,2318
2018 - Nov,10460,2304
2018 - Nov,11576,2456
2018 - Nov,13552,3860
2018 - Dec,12146,3972
2018 - Dec,12970,2824
2018 - Dec,2782,1198
2018 - Dec,11704,3310
2018 - Dec,14510,3418
2018 - Dec,12850,3414
2018 - Dec,12982,3132
2018 - Dec,9592,3010
2018 - Dec,10362,2746
2018 - Dec,12854,4024
2018 - Dec,14064,3394
2018 - Dec,6514,1940
2018 - Dec,10968,2804
2018 - Dec,10567,2597
2018 - Dec,12755,2722
2018 - Dec,9154,1194
2018 - Dec,68,60
2018 - Dec,5538,1434
2018 - Dec,5567,1267
2018 - Dec,11269,2223
2018 - Dec,60296,17823
2019 - Jan,15091,6614
2019 - Jan,29763,11230
2019 - Jan,9153,2795
2019 - Jan,14206,3424
2019 - Jan,5204,1804
2019 - Jan,6634,1834
2019 - Jan,3616,1476
2019 - Jan,5252,1624
2019 - Jan,4834,1704
2019 - Jan,5134,1954
2019 - Jan,10754,4292
2019 - Jan,4630,1900
2019 - Jan,5140,1936
2019 - Jan,5224,1874
2019 - Jan,1606,602
2019 - Jan,9652,2970
2019 - Jan,7772,2392
2019 - Jan,8248,2662
2019 - Jan,9176,2682
2019 - Jan,6045,2133
2019 - Jan,6826,2460
2019 - Jan,7128,2592
2019 - Jan,15386,5222
2019 - Feb,20628,6612
2019 - Feb,7788,2900
2019 - Feb,10658,3952
2019 - Feb,11174,3647
2019 - Feb,9210,3376
2019 - Feb,13362,3722
2019 - Feb,12956,4504
2019 - Feb,13174,3850
2019 - Feb,14432,4796
2019 - Feb,17744,5190
2019 - Feb,27938,7876
2019 - Feb,3004,1160
2019 - Feb,19710,5994
2019 - Feb,18266,5322
2019 - Feb,15740,5536
2019 - Feb,18144,5404
2019 - Feb,16552,5526
2019 - Feb,17656,5142
2019 - Feb,13718,4622
2019 - Feb,25862,8486
2019 - Mar,44934,12714
2019 - Mar,15870,4642
2019 - Mar,13806,4168
2019 - Mar,14534,4126
2019 - Mar,15846,4108
2019 - Mar,13334,4314
2019 - Mar,16300,3728
2019 - Mar,11512,3278
2019 - Mar,13376,3000
2019 - Mar,11828,3628
2019 - Mar,25320,7355
2019 - Mar,14004,2662
2019 - Mar,8460,2466
2019 - Mar,13626,3608
2019 - Mar,12792,2602
2019 - Mar,8444,2224
2019 - Mar,15226,2750
2019 - Mar,5500,1916
2019 - Mar,8968,2064
2019 - Mar,10561,2699
2019 - Mar,16007,5891
2019 - Apr,33478,11404
2019 - Apr,6988,1946
2019 - Apr,10444,2216
2019 - Apr,6898,1682
2019 - Apr,5654,1806
2019 - Apr,6300,1704
2019 - Apr,6692,1390
2019 - Apr,6396,1458
2019 - Apr,6708,1684
2019 - Apr,4316,1794
2019 - Apr,10978,3754
2019 - Apr,4062,1486
2019 - Apr,7022,2292
2019 - Apr,4266,1554
2019 - Apr,668,368
2019 - Apr,5284,1690
2019 - Apr,10550,2744
2019 - Apr,5616,2338
2019 - Apr,9096,2490
2019 - Apr,7248,2510
2019 - Apr,5978,2268
2019 - Apr,11112,4206
2019 - May,21064,6984
2019 - May,8356,3296
2019 - May,9762,3562
2019 - May,8542,3162
2019 - May,9974,4008
2019 - May,11554,4368
2019 - May,10530,4538
2019 - May,11496,3630
2019 - May,11330,3572
2019 - May,9231,3899
2019 - May,19070,7418
2019 - May,13618,5526
2019 - May,8850,3248
2019 - May,9244,3232
2019 - May,8568,3608
2019 - May,10700,5048
2019 - May,9834,4290
2019 - May,7878,2878
2019 - May,654,188
2019 - May,8306,2884
2019 - May,5612,2492
2019 - May,9028,3580
2019 - May,10432,4156
2019 - Jun,12108,5094
2019 - Jun,8724,2876
2019 - Jun,8563,3673
2019 - Jun,8820,3460
2019 - Jun,12304,3394
2019 - Jun,9346,3060
2019 - Jun,10692,3358
2019 - Jun,9526,3456
2019 - Jun,13340,3768
2019 - Jun,11626,3400
2019 - Jun,14310,3260
2019 - Jun,7792,2488
2019 - Jun,11234,3042
2019 - Jun,9752,3086
2019 - Jun,9312,2118
2019 - Jun,6404,1776
2019 - Jun,9864,2488
2019 - Jun,5928,1568
2019 - Jun,6150,2280
2019 - Jun,13510,5786
2019 - Jul,26038,10481
2019 - Jul,8866,1876
2019 - Jul,8520,1270
2019 - Jul,36,20
2019 - Jul,5240,1334
2019 - Jul,8530,1554
2019 - Jul,5364,1278
2019 - Jul,8162,1768
2019 - Jul,4814,1368
2019 - Jul,5258,1536
2019 - Jul,8438,3134
2019 - Jul,3676,1412
2019 - Jul,4712,1882
2019 - Jul,4008,1422
2019 - Jul,3184,1008
2019 - Jul,5850,1776
2019 - Jul,5144,1504
2019 - Jul,5712,2158
2019 - Jul,6056,1956
2019 - Jul,5948,2052
2019 - Jul,7696,2362
2019 - Jul,6750,2042
2019 - Jul,9156,3218
2019 - Aug,16010,5532
2019 - Aug,7350,2210
2019 - Aug,6520,2454
2019 - Aug,6130,2402
2019 - Aug,6296,2088
2019 - Aug,8162,3384
2019 - Aug,6694,2456
2019 - Aug,7013,2298
2019 - Aug,5662,2002
2019 - Aug,7512,2616
2019 - Aug,12992,4396
2019 - Aug,7214,2362
2019 - Aug,6544,2208
2019 - Aug,6226,2128
2019 - Aug,6362,2200
2019 - Aug,5446,1910
2019 - Aug,5564,1790
2019 - Aug,4844,1592
2019 - Aug,4546,1576
2019 - Aug,3546,1456
2019 - Aug,5008,1872
2019 - Aug,8002,2860
2019 - Sep,328,236
2019 - Sep,9786,3560
2019 - Sep,5458,1864
2019 - Sep,6460,2072
2019 - Sep,6464,2096
2019 - Sep,6906,1958
2019 - Sep,6512,2282
2019 - Sep,5932,1854
2019 - Sep,8600,2760
2019 - Sep,6666,2306
2019 - Sep,8320,2970
2019 - Sep,6570,2308
2019 - Sep,6332,2125
2019 - Sep,5217,1667
